Region,date,temp,RH,Ws,Rain
Sidi-Bel Abbes,2012-09-14,29.0,28,14.2,0.0
Sidi-Bel Abbes,2012-09-15,32.3,13,13.6,0.0
Sidi-Bel Abbes,2012-09-16,34.5,13,10.6,0.0
Sidi-Bel Abbes,2012-09-17,35.0,16,9.0,0.0
Sidi-Bel Abbes,2012-09-18,38.2,11,14.5,0.0
Sidi-Bel Abbes,2012-09-19,26.9,40,11.9,0.0
Sidi-Bel Abbes,2012-09-20,31.1,35,14.5,0.0
Sidi-Bel Abbes,2012-09-21,38.1,10,11.9,0.0
Sidi-Bel Abbes,2012-09-22,32.9,31,10.9,0.0
Sidi-Bel Abbes,2012-09-23,36.6,19,14.2,0.6
Sidi-Bel Abbes,2012-09-24,25.7,49,19.1,0.5
Sidi-Bel Abbes,2012-09-25,25.3,51,15.5,0.8
Sidi-Bel Abbes,2012-09-26,30.5,28,17.7,1.0
Sidi-Bel Abbes,2012-09-27,28.4,44,12.0,7.7
Sidi-Bel Abbes,2012-09-28,27.6,48,29.2,5.8
Sidi-Bel Abbes,2012-09-29,22.4,40,18.9,0.2
Sidi-Bel Abbes,2012-09-30,21.6,67,12.0,0.2
